customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ltv,engagement_score,charges_per_tenure,has_multiple_services,is_new_customer,is_high_value,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,tenure_group_12-24mo,tenure_group_24-48mo,tenure_group_48+mo,monthly_charges_category_Medium,monthly_charges_category_High,R_score,F_score,M_score,RFM_Score,RFM_Segment,KMeans_Cluster
9763-GRSKD,Male,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,,649.35,3,41.96071428571429,1,0,0,False,False,False,False,True,False,False,True,False,False,True,False,5,2,2,9,Developing,3
7469-LKBCI,Male,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,,303.2,1,19.223529411764705,0,0,0,False,True,True,False,False,False,True,True,False,False,False,False,4,1,2,7,Developing,0
8091-TTVAX,Male,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,,5820.299999999999,5,96.28983050847458,1,0,1,True,False,True,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
0280-XJGEX,Male,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,,5081.3,6,100.726,1,0,1,False,False,False,False,False,True,False,False,False,True,False,True,2,4,5,11,Established,2
5129-JLPIS,Male,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,,2637.5,7,103.3096153846154,1,0,0,False,False,False,True,False,True,False,False,True,False,False,True,4,5,4,13,Champions,1
3655-SNQYZ,Female,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,,7814.25,8,112.78785714285712,1,0,1,False,True,True,False,False,True,False,False,False,True,False,True,1,5,5,11,Established,2
8191-XWSZG,Female,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,,1073.8,1,19.300943396226412,0,0,0,True,False,False,False,True,False,True,False,False,True,False,False,2,1,3,6,At Risk,0
9959-WOFKT,Male,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,,7575.7,6,102.53125,1,0,1,False,True,False,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
4190-MFLUW,Female,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,,552.0,4,48.03181818181818,1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,5,3,2,10,Established,3
4183-MYFRB,Female,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,,1891.05,5,84.67727272727274,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,4,4,3,11,Established,3
8779-QRDMV,Male,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,,39.65,3,19.825,1,1,0,False,False,False,True,False,False,False,False,False,False,True,False,5,2,1,8,Developing,3
1680-VDCWW,Male,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,,237.6,1,15.557692307692308,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,5,1,1,7,Developing,0
1066-JKSGK,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,,20.15,1,10.075,0,1,0,False,False,False,False,True,False,True,False,False,False,False,False,5,1,1,7,Developing,0
3638-WEABW,Female,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,,3474.2,4,59.40847457627118,1,0,0,False,True,True,False,False,False,False,False,False,True,True,False,1,3,4,8,Developing,1
6322-HRPFA,Male,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,,2920.4,5,59.406000000000006,1,0,0,False,False,True,False,False,False,False,False,False,True,True,False,2,4,4,10,Established,1
6865-JZNKO,Female,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,,1659.0,4,49.37419354838709,1,0,0,False,False,False,False,False,False,False,False,True,False,True,False,3,3,3,9,Developing,3
6467-CHFZW,Male,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,,4669.45,5,98.940625,1,0,1,False,False,False,True,False,True,False,False,True,False,False,True,2,4,5,11,Established,1
8665-UTDHZ,Male,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,,30.2,2,15.1,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,5,2,1,8,Developing,0
5248-YGIJN,Male,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,,6498.0,8,87.2527397260274,1,0,1,False,True,True,False,False,False,False,False,False,True,False,True,1,5,5,11,Established,2
8773-HHUOZ,Female,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,,1099.9,4,60.727777777777774,1,0,0,False,False,False,False,True,False,False,True,False,False,True,False,4,3,3,10,Established,3
3841-NFECX,Female,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,,6840.849999999999,6,93.98541666666668,1,0,1,False,True,True,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
4929-XIHVW,Male,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,,191.0,5,60.55,1,1,0,False,False,True,False,False,True,False,False,False,False,False,True,5,4,1,10,Established,3
6827-IEAUQ,Female,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,,1786.0500000000002,6,66.94464285714285,1,0,0,True,False,False,False,True,False,False,False,True,False,True,False,4,4,3,11,Established,1
7310-EGVHZ,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,,20.2,1,10.1,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,5,1,1,7,Developing,0
3413-BMNZE,Male,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,,45.25,2,22.625,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,5,2,1,8,Developing,3
6234-RAAPL,Female,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,,7192.8,6,99.33835616438355,1,0,1,False,True,False,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
6047-YHPVI,Male,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,,348.5,2,52.81666666666666,0,1,0,False,False,False,True,False,True,False,False,False,False,True,False,5,2,2,9,Developing,3
6572-ADKRS,Female,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,,3440.8,3,75.49574468085106,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,2,2,4,8,Developing,1
5380-WJKOV,Male,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,,3615.9,6,101.40714285714286,1,0,0,False,False,False,True,False,True,False,False,True,False,False,True,3,4,4,11,Established,1
8168-UQWWF,Female,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,,1076.35,5,92.11666666666667,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,5,4,3,12,Established,3
8865-TNMNX,Male,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,,495.5,3,43.24545454545454,1,0,0,True,False,False,False,True,False,False,False,False,False,True,False,5,2,2,9,Developing,3
9489-DEDVP,Female,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,,4844.0,5,68.62464788732395,1,0,1,False,True,True,False,False,False,False,False,False,True,True,False,1,4,5,10,Established,2
9867-JCZSP,Female,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,,352.75,1,23.23611111111111,0,0,0,True,False,False,False,True,False,True,True,False,False,False,False,4,1,2,7,Developing,0
4671-VJLCL,Female,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,,5030.549999999999,7,75.96015625,1,0,1,False,True,True,False,False,False,False,False,False,True,False,True,1,5,5,11,Established,2
4080-IIARD,Female,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,,990.6,6,70.10357142857143,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,5,4,3,12,Established,3
3714-NTNFO,Female,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,,4140.5,3,78.134,1,0,1,False,False,False,True,False,True,False,False,False,True,False,True,2,2,4,8,Developing,1
5948-UJZLF,Male,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,,98.5,3,32.333333333333336,1,1,0,False,False,False,False,True,False,False,False,False,False,True,False,5,2,1,8,Developing,3
7760-OYPDY,Female,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,,161.3,3,48.05,1,1,0,False,False,False,True,False,True,False,False,False,False,False,True,5,2,1,8,Developing,3
7639-LIAYI,Male,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,,4147.0,6,79.5811320754717,1,0,1,False,True,True,False,False,False,False,False,False,True,False,True,2,4,4,10,Established,1
2954-PIBKO,Female,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,,4426.35,5,60.77285714285715,1,0,1,False,True,True,False,False,False,False,False,False,True,True,False,1,4,4,9,Developing,1
8012-SOUDQ,Female,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,,3880.75,4,87.24431818181819,1,0,1,False,False,False,True,False,True,False,False,True,False,False,True,3,3,4,10,Established,1
9420-LOJKX,Female,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,,1486.5,6,89.15,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,4,4,3,11,Established,3
6575-SUVOI,Female,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,,1737.5,5,67.40961538461539,1,0,0,False,False,True,False,False,False,False,False,True,False,True,False,4,4,3,11,Established,3
7495-OOKFY,Female,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,,645.2,3,70.36666666666666,1,0,0,False,False,True,False,False,True,False,False,False,False,False,True,5,2,2,9,Developing,3
4667-QONEA,Female,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,,4491.0,7,73.05491803278689,1,0,1,True,False,True,False,False,False,False,False,False,True,False,True,1,5,5,11,Established,2
1658-BYGOY,Male,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,,1718.1,4,92.23947368421052,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,4,3,3,10,Established,3
8769-KKTPH,Female,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,,6277.950000000001,5,98.6125,1,0,1,True,False,True,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
5067-XJQFU,Male,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,,7157.7,7,105.61716417910448,1,0,1,True,False,False,True,False,True,False,False,False,True,False,True,1,5,5,11,Established,2
3957-SQXML,Female,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,,848.3,1,25.55142857142857,0,0,0,False,True,True,False,False,False,True,False,True,False,False,False,3,1,2,6,At Risk,0
5954-BDFSG,Female,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,,7740.0,6,107.58493150684932,1,0,1,False,True,True,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
0434-CSFON,Female,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,,4723.5,5,98.06458333333336,1,0,1,False,False,False,True,False,True,False,False,True,False,False,True,2,4,5,11,Established,1
1215-FIGMP,Male,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,,5394.0,4,89.35573770491803,1,0,1,False,False,False,False,False,True,False,False,False,True,False,True,1,3,5,9,Developing,2
0526-SXDJP,Male,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,,3031.2000000000003,4,40.57534246575342,1,0,0,False,True,False,False,False,False,False,False,False,True,True,False,1,3,4,8,Developing,1
0557-ASKVU,Female,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,,979.2,4,50.37368421052632,1,0,0,True,False,True,False,False,False,False,True,False,False,True,False,4,3,3,10,Established,3
5698-BQJOH,Female,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,,849.6,4,85.725,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,5,3,2,10,Established,3
5122-CYFXA,Female,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,,225.9,6,61.025,1,1,0,False,False,False,True,False,False,False,False,False,False,False,True,5,4,1,10,Established,3
8627-ZYGSZ,Male,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,,3708.3,3,76.04895833333333,1,0,0,True,False,False,True,False,True,False,False,True,False,False,True,2,2,4,8,Developing,1
3410-YOQBQ,Female,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,,2455.2000000000003,7,78.0375,1,0,0,False,True,False,False,True,False,False,False,True,False,False,True,3,5,4,12,Established,1
3170-NMYVV,Female,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,,1007.5,1,18.25294117647059,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,2,1,3,6,At Risk,0
7410-OIEDU,Male,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,,798.5,4,80.66818181818182,1,0,0,False,False,False,False,True,True,False,False,False,False,False,True,5,3,2,10,Established,3
2273-QCKXA,Male,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,,49.05,3,24.525,1,1,0,False,False,False,False,True,False,False,False,False,False,True,False,5,2,1,8,Developing,3
0731-EBJQB,Female,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,,1060.8,1,20.578301886792456,0,0,0,True,False,False,True,False,False,True,False,False,True,False,False,2,1,3,6,At Risk,0
1891-QRQSA,Male,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,,7142.4,7,109.21538461538462,1,0,1,False,True,False,False,False,True,False,False,False,True,False,True,1,5,5,11,Established,2
8028-PNXHQ,Male,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,,1503.5,1,22.61269841269841,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,1,1,3,5,At Risk,0
5630-AHZIL,Female,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,,193.5,5,44.35,1,1,0,False,False,False,False,False,False,False,False,False,False,True,False,5,4,1,10,Established,3
2673-CXQEU,Female,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,,6188.0,7,107.71052631578948,1,0,1,True,False,False,True,False,True,False,False,False,True,False,True,2,5,5,12,Established,2
6416-JNVRK,Female,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,,2559.9,3,57.2095744680851,1,0,0,True,False,True,False,False,False,False,False,True,False,True,False,2,2,4,8,Developing,1
5590-ZSKRV,Female,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,,437.2,4,53.583333333333336,1,0,0,False,False,False,False,True,False,False,False,False,False,True,False,5,3,2,10,Established,3
0191-ZHSKZ,Male,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,,2242.5,6,68.10645161290323,1,0,0,False,False,False,True,False,False,False,False,True,False,False,True,3,4,4,11,Established,1
3887-PBQAO,Female,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,,1165.5,1,26.44782608695652,0,0,0,True,False,True,False,False,False,True,False,True,False,False,False,2,1,3,6,At Risk,0
5919-TMRGD,Female,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,,79.35,3,39.675,1,1,0,False,False,False,True,False,True,False,False,False,False,False,True,5,2,1,8,Developing,3
8108-UXRQN,Female,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,,556.05,4,47.1125,1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,5,3,2,10,Established,3
9191-MYQKX,Female,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,,526.0500000000001,3,62.1125,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,5,2,2,9,Developing,3
9919-YLNNG,Female,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,,4359.599999999999,7,100.63953488372093,1,0,1,False,False,False,False,False,True,False,False,True,False,False,True,3,5,4,12,Established,2
0318-ZOPWS,Female,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,,987.35,1,19.467,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,2,1,3,6,At Risk,0
4445-ZJNMU,Male,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,,893.6999999999999,5,91.875,1,0,0,False,False,True,False,False,True,False,False,False,False,False,True,5,4,2,11,Established,3
4808-YNLEU,Female,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,,2175.25,4,61.540277777777774,1,0,0,True,False,False,False,False,False,False,False,True,False,True,False,3,3,4,10,Established,1
1862-QRWPE,Female,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,,991.2,1,21.571428571428573,0,0,0,False,True,False,False,False,False,True,False,True,False,False,False,2,1,3,6,At Risk,0
2796-NNUFI,Female,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,,917.7,1,19.72553191489362,0,0,0,False,True,False,False,True,False,True,False,True,False,False,False,2,1,2,5,At Risk,0
3016-KSVCP,Male,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,,978.75,2,33.641666666666666,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,3,2,3,8,Developing,0
4767-HZZHQ,Male,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,,2461.5,4,82.90967741935484,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,3,3,4,10,Established,1
2424-WVHPL,Male,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,,74.7,3,37.35,1,1,0,False,False,False,True,False,True,False,False,False,False,False,True,5,2,1,8,Developing,3
7233-PAHHL,Male,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,,5544.0,7,85.28731343283582,1,0,1,False,True,False,False,True,False,False,False,False,True,False,True,1,5,5,11,Established,2
6067-NGCEU,Female,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,,7218.25,7,107.6818181818182,1,0,1,False,False,True,False,False,True,False,False,False,True,False,True,1,5,5,11,Established,2
9848-JQJTX,Male,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,,7264.8,6,102.17876712328768,1,0,1,False,True,False,False,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
8637-XJIVR,Female,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,,947.4,3,71.33461538461539,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,5,2,2,9,Developing,3
9803-FTJCG,Male,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,,4746.349999999999,5,65.95416666666667,1,0,1,True,False,True,False,False,False,False,False,False,True,True,False,1,4,5,10,Established,1
0278-YXOOG,Male,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,,105.25,1,18.975,0,1,0,False,False,False,False,True,False,True,False,False,False,False,False,5,1,1,7,Developing,0
3212-KXOCR,Male,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,,1092.0,1,20.89056603773585,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,2,1,3,6,At Risk,0
4598-XLKNJ,Female,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,,2462.5,6,96.71153846153848,1,0,0,False,False,False,True,False,True,False,False,True,False,False,True,4,4,4,12,Established,1
6380-ARCEH,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,,20.2,1,10.1,0,1,0,False,False,False,False,True,False,True,False,False,False,False,False,5,1,1,7,Developing,0
3679-XASPY,Female,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,,19.45,1,9.725,0,1,0,False,False,False,True,False,False,True,False,False,False,False,False,5,1,1,7,Developing,0
7123-WQUHX,Male,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,,3610.0,5,92.45128205128204,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,3,4,4,11,Established,1
5386-THSLQ,Female,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,,3006.3,4,45.18283582089552,1,0,0,True,False,False,False,False,False,False,False,False,True,True,False,1,3,4,8,Developing,1
3192-NQECA,Male,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,,7480.0,7,110.31666666666668,1,0,1,False,True,False,False,False,True,False,False,False,True,False,True,1,5,5,11,Established,2
6180-YBIQI,Male,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,,121.5,1,16.7,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,5,1,1,7,Developing,0
6728-DKUCO,Female,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,,7498.8,6,100.0417808219178,1,0,1,True,False,False,True,False,True,False,False,False,True,False,True,1,4,5,10,Established,2
9750-BOOHV,Female,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,,964.8,2,28.11060606060606,0,0,0,True,False,False,False,True,False,False,False,True,False,False,False,3,2,3,8,Developing,0
8597-CWYHH,Male,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,,4057.05,4,89.12045454545455,1,0,1,True,False,False,False,True,True,False,False,True,False,False,True,3,3,4,10,Established,1
2848-YXSMW,Male,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,,1396.8,1,18.67465753424657,0,0,0,False,True,True,False,False,False,True,False,False,True,False,False,1,1,3,5,At Risk,0
0486-HECZI,Male,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,,5321.25,5,93.55178571428571,1,0,1,False,False,False,True,False,True,False,False,False,True,False,True,2,4,5,11,Established,2
4549-ZDQYY,Female,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,,3013.4,5,57.40094339622642,1,0,0,True,False,True,False,False,False,False,False,False,True,True,False,2,4,4,10,Established,1
5712-AHQNN,Female,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,,3940.95,5,89.86590909090908,1,0,1,False,False,False,True,False,True,False,False,True,False,False,True,3,4,4,11,Established,1
4846-WHAFZ,Female,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,,2830.5,2,75.47763157894737,0,0,0,False,False,False,True,False,True,False,False,True,False,False,True,3,2,4,9,Developing,1
5256-SKJGO,Female,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,,3494.4,5,52.66923076923077,1,0,0,False,True,False,True,False,False,False,False,False,True,True,False,1,4,4,9,Developing,1
3071-VBYPO,Male,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,,269.54999999999995,5,62.1,1,1,0,False,False,False,True,False,True,False,False,False,False,False,True,5,4,2,11,Established,3
9560-BBZXK,Female,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,,1117.8,2,30.44189189189189,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,3,2,3,8,Developing,0
5299-RULOA,Female,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,,1002.5,5,96.78636363636365,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,5,4,3,12,Established,3
8402-OOOHJ,Female,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,,846.65,1,19.88452380952381,0,0,0,False,True,False,False,True,False,True,False,True,False,False,False,3,1,2,6,At Risk,0
9445-ZUEQE,Male,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,,2300.4,4,76.84285714285714,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,4,3,4,11,Established,1
1091-SOZGA,Female,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,,5588.8,5,96.76228070175438,1,0,1,True,False,True,False,False,True,False,False,False,True,False,True,2,4,5,11,Established,2
2928-HLDBA,Female,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,,124.2,1,16.107142857142858,0,1,0,False,False,False,False,True,False,True,False,False,False,False,False,5,1,1,7,Developing,0
0404-SWRVG,Male,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,,223.2,2,57.3875,0,1,0,False,False,False,True,False,True,False,False,False,False,False,True,5,2,1,8,Developing,3
6497-TILVL,Female,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,,354.90000000000003,3,43.79375,1,0,0,False,False,False,False,True,False,False,False,False,False,True,False,5,2,2,9,Developing,3
7219-TLZHO,Female,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,,83.4,1,12.58,0,1,0,False,False,False,False,True,False,True,False,False,False,False,False,5,1,1,7,Developing,0
4622-YNKIJ,Male,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,,2935.35,5,89.0485294117647,1,0,0,False,True,False,True,False,True,False,False,True,False,False,True,3,4,4,11,Established,1
